cpfCliente;agencia;numero;saldo;tipo;chequeEspecial;
100;1;10001;10000.00;1;500.00
001;2;30001;11000.00;1;500.00
111;1;30001;11000.00;1;500.00
504;2;20001;11000.00;1;500.00
260;4;40001;3210.00;1;500.00
137;1;10002;64030.00;1;500.00
977;2;20003;500.00;1;500.00
900;2;20004;1230.00;1;500.00
501;1;10008;870.00;1;500.00
211;1;10009;632.00;1;500.00
211;1;10011;632.00;2;0.00
501;1;10010;870.00;2;0.00
223;3;10021;20000.0;1;0.00
330;3;10021;20000.0;3;0.00
220;3;10021;20000.0;2;0.00
774;3;10021;20000.0;4;0.00
111;1;10002;50000.0;0;0.00
101;2;10002;30000.0;2;0.00
100;2;10002;30000.0;1;0.00
